epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4845.83,1.56514,0.90038,0.9667,0.78619,0.63906,0.74179,0.42465,1.46133,0.83568,0.9483,0.00898525,0.00898525,0.00898525
43,4957.12,1.56586,0.90069,0.96648,0.78703,0.63854,0.74179,0.42466,1.46143,0.83657,0.94826,0.0089605,0.0089605,0.0089605
44,5075.35,1.56412,0.89932,0.96629,0.78757,0.63817,0.74186,0.42475,1.46126,0.8368,0.94814,0.00893575,0.00893575,0.00893575
45,5183.76,1.5633,0.89852,0.96606,0.78772,0.63805,0.74183,0.42432,1.4628,0.83802,0.94822,0.008911,0.008911,0.008911
46,5291.23,1.56213,0.89812,0.96564,0.78837,0.63787,0.74194,0.42451,1.46233,0.83821,0.94802,0.00888625,0.00888625,0.00888625
47,5399.13,1.56235,0.89828,0.96581,0.78833,0.63797,0.74211,0.42451,1.46249,0.83849,0.94798,0.0088615,0.0088615,0.0088615
48,5524.67,1.5596,0.89731,0.96471,0.78773,0.63832,0.74218,0.42475,1.46212,0.83892,0.94798,0.00883675,0.00883675,0.00883675
49,5634.21,1.55876,0.89627,0.96475,0.78807,0.63804,0.74214,0.42487,1.46191,0.83937,0.94795,0.008812,0.008812,0.008812
50,5741.68,1.55687,0.89503,0.96382,0.7891,0.63747,0.74227,0.42501,1.46131,0.83935,0.9477,0.00878725,0.00878725,0.00878725
51,5862.91,1.55891,0.89557,0.96442,0.78844,0.63757,0.74212,0.42464,1.46194,0.83959,0.94768,0.0087625,0.0087625,0.0087625
52,5978.12,1.55769,0.89654,0.96472,0.78819,0.63791,0.74233,0.42471,1.46205,0.83945,0.94759,0.00873775,0.00873775,0.00873775
53,6094.16,1.5583,0.89598,0.96506,0.78888,0.63731,0.74215,0.42478,1.46195,0.83947,0.9476,0.008713,0.008713,0.008713
54,6220.14,1.55476,0.89524,0.96426,0.78845,0.63749,0.74215,0.42519,1.46079,0.83924,0.94739,0.00868825,0.00868825,0.00868825
55,6325.5,1.55575,0.89551,0.9644,0.7887,0.63737,0.74217,0.42519,1.46084,0.83921,0.94729,0.0086635,0.0086635,0.0086635
56,6449.75,1.55552,0.89408,0.96369,0.78893,0.63706,0.74213,0.42511,1.46087,0.83942,0.94729,0.00863875,0.00863875,0.00863875
57,6570.46,1.55305,0.89382,0.96433,0.78853,0.63756,0.74235,0.425,1.46105,0.83975,0.94737,0.008614,0.008614,0.008614
58,6688.9,1.55351,0.89387,0.96391,0.78949,0.63711,0.74238,0.42494,1.46114,0.8399,0.94734,0.00858925,0.00858925,0.00858925
59,6799.99,1.5528,0.89281,0.96266,0.78892,0.63796,0.7427,0.42558,1.45908,0.83886,0.94689,0.0085645,0.0085645,0.0085645
60,6907.71,1.55124,0.89205,0.96235,0.78972,0.63748,0.74284,0.42543,1.45963,0.8392,0.94692,0.00853975,0.00853975,0.00853975
61,7015.76,1.55039,0.89113,0.96253,0.78923,0.638,0.74301,0.42581,1.45847,0.83872,0.94665,0.008515,0.008515,0.008515
62,7136.12,1.5488,0.89215,0.96215,0.78955,0.63804,0.74328,0.42617,1.45723,0.83824,0.94635,0.00849025,0.00849025,0.00849025
63,7247.82,1.54944,0.8913,0.96196,0.79011,0.63791,0.74351,0.42637,1.45667,0.83792,0.94624,0.0084655,0.0084655,0.0084655
64,7363.13,1.54861,0.89143,0.96225,0.78988,0.63799,0.74354,0.42639,1.45679,0.83738,0.94629,0.00844075,0.00844075,0.00844075
65,7472.32,1.54753,0.891,0.96199,0.78965,0.63812,0.74357,0.42648,1.45698,0.83776,0.94632,0.008416,0.008416,0.008416
66,7591.06,1.5487,0.89066,0.96174,0.78962,0.63849,0.74378,0.42671,1.45673,0.83737,0.94623,0.00839125,0.00839125,0.00839125
67,7712.96,1.54691,0.8898,0.96167,0.79046,0.6378,0.74382,0.42677,1.45687,0.83771,0.94621,0.0083665,0.0083665,0.0083665
68,7838.9,1.54806,0.89024,0.96178,0.78982,0.63865,0.74401,0.42686,1.45683,0.83758,0.94621,0.00834175,0.00834175,0.00834175
69,7958.93,1.54854,0.89148,0.96097,0.79035,0.6385,0.74412,0.42682,1.45684,0.83751,0.94604,0.008317,0.008317,0.008317
70,8083.46,1.54566,0.88891,0.96028,0.79007,0.63922,0.74451,0.42726,1.45615,0.83705,0.94593,0.00829225,0.00829225,0.00829225
71,8192.35,1.54629,0.89019,0.96045,0.78992,0.63973,0.74479,0.42779,1.4545,0.83589,0.94562,0.0082675,0.0082675,0.0082675
72,8300.76,1.5451,0.89026,0.96047,0.79032,0.63995,0.74516,0.42855,1.45279,0.83509,0.94522,0.00824275,0.00824275,0.00824275
73,8412.06,1.54403,0.88912,0.96001,0.79101,0.63992,0.74549,0.42866,1.45289,0.8343,0.94513,0.008218,0.008218,0.008218
74,8524.06,1.54389,0.88984,0.96066,0.7905,0.64053,0.74568,0.42888,1.45277,0.834,0.94512,0.00819325,0.00819325,0.00819325
75,8654.21,1.54175,0.88776,0.95983,0.79071,0.64014,0.74563,0.42869,1.45372,0.83441,0.94513,0.0081685,0.0081685,0.0081685
76,8770.07,1.54257,0.88678,0.95957,0.79112,0.64005,0.74571,0.42845,1.45484,0.83435,0.94513,0.00814375,0.00814375,0.00814375
77,8890.08,1.54303,0.8881,0.95998,0.79038,0.64085,0.74595,0.42861,1.45479,0.83396,0.94504,0.008119,0.008119,0.008119
78,8997.28,1.53908,0.88676,0.95884,0.79109,0.64054,0.74605,0.42885,1.45455,0.83373,0.94497,0.00809425,0.00809425,0.00809425
79,9105.24,1.54082,0.88829,0.9603,0.79061,0.64135,0.74644,0.42906,1.45406,0.83299,0.94485,0.0080695,0.0080695,0.0080695
80,9223.53,1.54074,0.8878,0.95937,0.79109,0.6412,0.74662,0.42934,1.45341,0.83266,0.94457,0.00804475,0.00804475,0.00804475
81,9339.82,1.54077,0.88748,0.9594,0.79117,0.6421,0.74731,0.43024,1.45091,0.83134,0.94412,0.00802,0.00802,0.00802
82,9461.36,1.53941,0.88699,0.95932,0.79089,0.643,0.74776,0.4308,1.4492,0.83038,0.94361,0.00799525,0.00799525,0.00799525
83,9571.41,1.54004,0.88668,0.95911,0.79099,0.64353,0.74812,0.43114,1.44842,0.82962,0.94338,0.0079705,0.0079705,0.0079705
84,9679.22,1.53782,0.88671,0.95932,0.79119,0.64382,0.74844,0.4314,1.44814,0.82911,0.94322,0.00794575,0.00794575,0.00794575
85,9798.24,1.53848,0.88628,0.95858,0.79192,0.64383,0.74887,0.43182,1.44755,0.82847,0.94309,0.007921,0.007921,0.007921
86,9917.84,1.53744,0.88587,0.95948,0.7916,0.64449,0.74918,0.43197,1.44753,0.8279,0.94308,0.00789625,0.00789625,0.00789625
87,10034.2,1.53733,0.88699,0.95969,0.79146,0.64481,0.74924,0.43198,1.44763,0.82751,0.94306,0.0078715,0.0078715,0.0078715
88,10155.4,1.53644,0.88534,0.95877,0.79207,0.64464,0.74944,0.4319,1.44712,0.82699,0.94282,0.00784675,0.00784675,0.00784675
89,10265.8,1.53626,0.88475,0.95902,0.79141,0.64542,0.7497,0.43242,1.44636,0.82629,0.94266,0.007822,0.007822,0.007822
90,10378,1.53595,0.88547,0.95875,0.79188,0.64533,0.74999,0.43228,1.44602,0.82592,0.94259,0.00779725,0.00779725,0.00779725
91,10493.1,1.53668,0.8849,0.95839,0.79147,0.64572,0.75015,0.43249,1.44609,0.82535,0.94256,0.0077725,0.0077725,0.0077725
92,10618.9,1.53504,0.88422,0.95801,0.79105,0.64622,0.75029,0.43245,1.44657,0.82523,0.94246,0.00774775,0.00774775,0.00774775
93,10745.2,1.53411,0.88332,0.95854,0.79123,0.64604,0.7503,0.43221,1.44689,0.82487,0.9424,0.007723,0.007723,0.007723
94,10851.5,1.5347,0.8836,0.95879,0.79119,0.64617,0.75038,0.43223,1.44651,0.82428,0.94224,0.00769825,0.00769825,0.00769825
95,10977.4,1.53496,0.88538,0.95905,0.79158,0.64609,0.75045,0.4324,1.44593,0.82371,0.94213,0.0076735,0.0076735,0.0076735
96,11104.7,1.53533,0.88417,0.95821,0.7909,0.64737,0.75097,0.43349,1.44259,0.82197,0.94159,0.00764875,0.00764875,0.00764875
97,11225.4,1.53323,0.88372,0.95773,0.79142,0.64682,0.75091,0.43324,1.44304,0.82182,0.94159,0.007624,0.007624,0.007624
98,11338.4,1.53113,0.88284,0.95749,0.79129,0.64716,0.75104,0.43321,1.4431,0.82129,0.94156,0.00759925,0.00759925,0.00759925
99,11457.4,1.53259,0.88385,0.95781,0.79218,0.6465,0.751,0.43327,1.4427,0.8207,0.94149,0.0075745,0.0075745,0.0075745
100,11567.8,1.53192,0.88329,0.95778,0.79151,0.64727,0.75122,0.43391,1.4419,0.82022,0.94135,0.00754975,0.00754975,0.00754975
101,11674.9,1.53336,0.88374,0.95813,0.79209,0.6473,0.75148,0.43429,1.44097,0.81939,0.94118,0.007525,0.007525,0.007525
102,11783.8,1.52902,0.88101,0.95713,0.79189,0.64787,0.75173,0.43458,1.44049,0.81885,0.94108,0.00750025,0.00750025,0.00750025
103,11909,1.53203,0.88303,0.95796,0.79143,0.64826,0.75177,0.43442,1.44113,0.81855,0.94111,0.0074755,0.0074755,0.0074755
104,12031.8,1.52906,0.88045,0.95726,0.79217,0.64789,0.75183,0.43441,1.44139,0.81838,0.9411,0.00745075,0.00745075,0.00745075
105,12151,1.52829,0.88054,0.95701,0.7909,0.64867,0.75188,0.4344,1.44164,0.81808,0.94109,0.007426,0.007426,0.007426
106,12260,1.52871,0.88125,0.95702,0.79142,0.64874,0.75223,0.43475,1.44088,0.81723,0.94096,0.00740125,0.00740125,0.00740125
107,12382.1,1.52999,0.88067,0.95759,0.79124,0.64893,0.75236,0.43495,1.44045,0.81687,0.94089,0.0073765,0.0073765,0.0073765
108,12491,1.53027,0.88244,0.95734,0.79206,0.64876,0.75258,0.43565,1.43866,0.8163,0.94071,0.00735175,0.00735175,0.00735175
109,12606.1,1.53072,0.88205,0.95716,0.79113,0.64936,0.7527,0.43611,1.43737,0.81596,0.94047,0.007327,0.007327,0.007327
110,12726.1,1.52818,0.88016,0.95693,0.79201,0.64891,0.75289,0.43643,1.4365,0.81519,0.94028,0.00730225,0.00730225,0.00730225
